Word,Frequency
brukselkà,3
surówka,3
andaluzji,2
blanco,3
gaspacio,3
pesuga,3
pullo,3
fiesta,2
tuƒczyk,3
jarzynami,7
wieprzowy,4
sherry,5
oêmiornic,5
vinegret,2
mule,19
czosnkowo,3
winnym,5
ziemi,2
obiecanej,2
boeff,3
stroganoff,1
ozory,7
spazlespis,1
treâci,1
pl66,1
dzieciƒstwo,2
spaghetti,4
sosem,32
pomidorowym,4
kurczak,11
frytkami,4
czekoladowy,3
narty,2
kotleciki,9
bundzem,4
ziemnaczana,3
chrzanem,3
piwo,15
grzane,3
pszczyƒski,2
kminkowa,3
grysikowe,5
knedel,6
serwecie,4
ozorki,8
wielkanocny,2
podlasia,2
soczewicà,1
schab,19
kulebiak,5
kapustà,8
modny,2
bobu,5
kolendry,6
szparagi,8
serowym,3
tragiatelle,4
prawdziwkami,3
wiosenny,2
wiosenna,3
szpinaku,8
rzymska,4
jarzynowa,3
piwny,2
dancingowy,2
flaki,4
lwowsku,3
arskie,3
banana,3
heaven,3
nowy,3
orlean,3
dawnych,2
wspomnieƒ,2
eskalopki,6
sarny,4
suflet,7
ubrówkà84,1
szwedzki,2
dorsz,4
marynarsku,3
ownia,3
lindstorm,3
kanapka,4
szwedzka,3
cztery,5
pory,8
smaku,20
naleêniki,15
serem,6
risotto,3
jarzynowe,3
czarny,9
cieêcie,8
kacza,3
kolejowy,2
pilzneƒsku,3
corn,3
chowder,3
tagliatelle,3
ososia,8
marynarski,2
nelsoƒsku,3
klops,3
meatloaf,3
grysik,8
grochówka,2
gdynia,2
osoê,8
desce,4
rybna,3
bieszczadzki,2
dzicza,6
karkówka,4
pieczeƒ,4
dzika,12
cypryjski,1
winie,15
oêmiornica,6
sardynki,6
choriatiki,2
dorada,5
leêny,2
gulaszowa,6
anta,3
jelenina,1
ragout,6
pasterski,2
kleftiko,3
liêciach,3
winogron,5
souvlaki97,1
urugwaju,2
flaczki,6
ciecierzyca,3
olla,3
podrida,3
jagni,5
poludniowego,2
atlantyku,2
kalmary,5
casuela,4
europejski,2
estragonowy,3
krem,8
angielski,3
królik,7
montevideo,2
dulde,4
leche,4
pomaraƒczowy,4
chimi,2
churri,3
guizo,3
kolonialny,2
bolitas,3
cannelloni,3
jesiotr,3
rzeki,3
waloƒski,2
liege,3
lotaryngii,4
quiche,3
lorraine,3
dyni,6
potet,3
loraine,3
alzacji,2
soczewica,6
tarta,11
porami,3
przepisy,2
dodatkowe,2
murzyn,3
êmietanie,3
drówka,54
adniki,191
màki,59
jajko,23
woda,24
mineralna,3
gazowana,5
dzonej,3
oniny,6
kostka,3
bryndzy,1
plan,173
dzia,186
ania,186
rozmieszaç,8
wodà,18
mineralnà,1
której,6
dodaç,235
tyle,4
powsta,10
ciasto,62
przez,31
rodzaj,4
rondla,2
êrednicy,1
otworami,1
dnie,5
wlewaç,4
wrzàtek,4
czas,21
mieszajàc,32
zrobiç,13
skwarki,12
ugotowane,8
wyjàç,15
cedzakowà,2
polaç,22
uszczem,7
skwarkami,4
wierzchu,2
posypaç,24
pokruszonà,1
posoliç,60
dwicy,4
innej,1
dziczyzny,3
musztardy,5
szklanka,29
stej,4
kwaênej,5
êmietany,31
marchewki,12
cebula,72
seler,18
bulionu,38
owego,5
eczki,15
pieprz,131
dwic,3
pokroiç,54
grube,7
plastry,26
lekko,49
rozbiç,4
uczkiem,4
popieprzyç,39
patelni,122
rozgrzaç,25
obsma,45
stron,26
zrumienione,3
zdjàç,11
troch,19
wrzuciç,67
jarzyny,18
dusiç,39
minut,47
powrotem,7
êliwowicà,1
podpaliç,2
dopuêciç,2
przypalenia,2
wlaç,43
przykryç,16
pozostawiç,11
ogniu,41
prze,15
razie,4
potrzeby,5
podlewaç,4
bulionem,12
osolonà,1
kwaênà,2
êmietan,19
adnie,45
wymieszanà,1
màkà,16
grudek,2
kszyç,4
musztard,2
wymieszaç,71
misku,1
ugotowanych,4
kasztanów,1
jadalnych,1
cukru,38
wanilia,1
szklanki,35
mielonych,1
migda,8
piana,2
kasztany,2
jadalne,1
pozbawiç,2
twardej,1
grubej,4
skóry,3
gotowaç,62
odziç,3
obraç,13
cienkiej,2
skórki,10
zemleç,1
zmieszaç,3
cukrem,11
wanilià,2
tkami,7
zmielonymi,1
potem,20
bardzo,28
delikatnie,21
ubità,2
pianà,2
podzieliç,3
upiec,3
êrednio,2
nagrzanym,2
piekarniku,10
masà,6
orzechowà,1
takie,2
surowe,7
masa,7
kasztanowe,1
doskona,1
nadzieniem,1
wigilijne,1
potrawy,8
zajaca,1
pszennej,4
razowej,1
owsianej,1
zàbków,11
czosnku,55
listków,4
laurowych,3
litry,1
wody,50
przegotowanej,2
kromka,2
razowego,3
chleba,6
màka,19
pszenna,1
owsiana,1
grubo,4
zmielona,2
garnka,60
kamionkowego,1
zalaç,18
letnià,3
przegotowanà,2
najlepiej,14
êródlana,1
czym,17
wrzucamy,29
odstawiamy,6
miejsce,5
obranych,1
pokrojonych,2
buraków,4
çwik,2
owych,6
liêç,19
laurowy,19
buraczki,6
pokrojone,22
plasterki,14
zalewamy,6
letnia,2
dorzucamy,2
kilka,20
lauro,1
wych,1
adamy,25
kromk,1
przyêpiesza,1
fermentacj,1
przykrywamy,5
zmielonej,5
pszenicy,1
maku,4
laski,1
wanilii,3
miodu,5
bakalii,1
cukier,16
puder,3
odkiej,16
êmietanki,10
miód,8
gryczany,2
makutry,1
dolewamy,6
goràcej,10
mieszamy,26
nast,68
pnie,68
dodajemy,106
który,8
zosta,2
sparzony,3
wrzàtkiem,6
mlekiem,6
dodanà,1
maszynk,2
zmielonyprzez,1
sito,1
pasztetowe,1
razy,4
wszystko,59
sobà,4
àczy,3
bakalie,2
orzechy,2
rodzynki,10
poci,3
paski,8
zmielonà,2
pszenic,1
która,3
wczeêniej,11
podgotowana,2
trzeba,16
niej,9
ukaç,7
klej,1
powstajàcy,1
wyniku,1
gotowania,9
razem,34
êmietank,11
pudru,6
odstawiç,7
dzieƒ,2
lodówki,4
przodek,2
wraz,9
podrobami,2
podgardle,2
ustej,1
pietruszka,18
marchewka,14
suszone,5
grzybki,2
liêcie,29
laurowe,26
ziarenek,2
ziela,8
angielskiego,8
watróbki,6
jajka,31
kieliszek,15
koniaku,2
muszkato,18
dzona,3
onina,3
enia,7
formy,5
plplan,12
podroby,3
cebul,76
marchewk,7
pietruszk,7
ziele,15
angiel,1
skie,1
gotujemy,36
przykryciem,12
godz,12
owie,4
goto,1
wania,1
solàc,2
czasie,16
wàtróbk,2
onin,4
dzonà,2
podlewamy,5
wywaru,18
równie,7
odrobinà,14
moczymy,1
wywar,18
zagotuje,5
wszystkie,6
wyjmujemy,4
niego,6
mielimy,2
pozostawiajàc,3
wywa,1
zmieleniu,1
straci,1
toêci,1
masy,7
jaja,14
imbir,3
proszku,23
szczypty,2
napoleon,1
jakiekolwiek,1
inne,4
brandy,3
wyrabiamy,3
cznie,2
jednolità,8
brytfann,2
bokà,1
nacieramy,2
oninà,1
cieniutkie,1
bryt,1
fanny,1
wype,2
niamy,2
przyklepujemy,1
tworzy,1
zakalce,1
piekarnika,9
temp,5
drobiowej,1
namoczone,8
mleku,9
garêç,5
rodzynek,4
czek,25
pietruszki,42
rozgniatamy,2
papk,2
bocznà,1
powierzchnià,1
startej,1
cebuli,17
odsàczajàc,1
namoczonà,3
odciêni,5
czka,4
zielonej,5
drobno,33
pokrojonej,2
kkie,8
wiórkach,1
lepiej,1
rozprowadzi,1
rozrabiamy,1
êrodek,2
pieprzàc,1
sandacza,1
skórà,2
sporo,5
wyciêni,1
tego,21
worcester,2
przyprawiamy,2
tylko,18
strony,7
gdzie,1
posypujemy,11
solà,14
doêç,39
obficie,5
skrapiamy,5
panierujemy,1
obsypujàc,1
bezskórnej,1
opanierowanà,1
stronà,3
adziemy,6
rozgrzany,4
uszcz,9
ryba,3
spali,1
nieca,1
mleka,25
ucieramy,2
make,7
rozcieramy,1
równomiernie,4
nastepnie,17
mleko,14
robimy,9
pian,6
ostatecznie,1
pulchna,2
leciutka,1
masle,6
przed,20
podaniem,7
dzielimy,2
kawa,46
starte,3
ziemniaki,36
majeranek,14
czosnek,59
jelito,1
startych,3
utarty,1
reku,1
posiekana,8
podsma,24
oraz,11
posiekany,12
nalozyc,1
jelita,1
ugotowaç,25
êwie,37
rydzami,2
litr,5
jarzyn,1
eczka,17
porto,3
siekane,3
natka,10
koperek,6
garnku,22
zeszkliç,7
maêle,16
posiekanà,17
grzyby,22
ogieƒ,13
garnkiem,3
poddusi,1
osoliç,5
wiele,1
dodawany,1
dzie,13
jarzynowy,4
nigdy,3
zepsuje,1
przygotowany,1
kostki,14
zmielonym,4
pieprzem,19
wsypaç,17
celu,6
szczenia,2
oêci,10
rozprowadziç,5
zestawiç,1
garnek,10
ognia,15
grudki,3
wstawiç,5
godziny,13
zmniejszyç,2
miseczce,2
przygotowaç,7
zupy,17
stale,6
szajàc,1
ciny,5
koêci,11
wytrawnego,13
wina,26
paseczki,5
mniej,6
jednakowej,1
wielkoêci,6
poprzeg,1
okien,1
rozgrzane,4
odrobin,19
ostrym,7
kiedy,3
podrumieni,1
ukane,1
kurki,3
moczyç,3
przemieszaç,7
jeszcze,29
winem,10
wino,25
prawie,10
kowicie,4
wyparuje,4
znaczy,3
przystàpiç,1
kolejnego,1
etapu,1
wtedy,9
zagotowania,4
ywamy,1
arsz,7
kurek,1
podgrzybków,1
rydzów,1
opieniek,1
posiekanej,6
natki,7
zàbki,32
jajek,6
zeszkilç,2
pokrojonym,1
brubo,1
wszysko,1
jakieê,3
bulon,1
takiej,1
iloêci,4
ciàgu,1
wyparowa,3
podduszà,1
tarty,3
rozwa,7
kowaç,8
nasmarowanej,1
rozgniatajàc,1
formie,1
mijajàc,1
brzegów,1
równa,1
niezbyt,10
gruba,1
warstwa,1
ponak,2
uwaç,2
widelcem,3
podczas,5
podpiekania,1
wybrzuszy,1
przygotowane,3
nagrzanego,2
podpieczenia,1
gdybyêmy,1
farszna,1
uros,1
ciàg,1
dalszy,1
gasimy,1
odkà,7
startà,6
niewielkiej,1
roztrzepujemy,1
jajecznic,1
natk,7
mielonypieprz,1
starannie,1
wylaç,3
podpieczone,2
rozprowadzajàc,2
wsadzamy,2
momentu,5
zupe,1
zetnie,4
jest,41
dobry,3
farsz,21
papryka,28
ostra,3
turecki,1
alternatywnie,2
cytryny,27
przesiaç,2
miski,25
zagnieêç,4
dolewajàc,2
zabierze,2
zagnieceniu,1
makaron,13
równe,2
podsypujàc,2
cienki,2
placki,2
przek,3
adaç,13
êcierkami,1
wysch,1
drobnà,12
kostk,39
posiekaç,27
papryki,20
pieprzu,14
rodzynkami,1
podsypaç,1
skropiç,5
sokiem,12
ciasta,10
jeden,2
drugim,2
drugi,1
uprzednio,5
smarujàc,2
roztopionym,2
eniu,4
wysmarowaniu,1
wszystkich,5
zawinà,1
zwini,4
prodi,2
okràg,2
pieczemy,4
sody,2
oczyszczonej,2
jajo,6
wymieszanej,2
eczek,1
zostanie,3
pokrojony,5
kulki,3
rozrobiç,1
kach,10
albo,5
zmieliç,4
kulk,1
placuszek,1
zaklejaç,1
zwyk,2
pieróg,1
koronkowo,1
zalepiç,1
brzeg,1
blasze,1
wysmarowanej,2
piec,15
ocenia,1
oprócz,1
surowa,4
oliwa,26
poprzek,3
ókien,5
marynowaç,3
oliwie,9
kolejnà,2
godzin,8
ponabijaç,1
arem,1
oliwà,11
àdki,5
materbrajt,2
kaszy,7
czak,3
ówki,7
fasoli,8
czerwonej,5
czerwona,13
mielona,3
kaczy,2
namoczyç,2
oddzielnie,3
fasol,5
uszczu,19
ociç,6
miseczki,2
smalcu,6
durzà,1
koniec,13
papryk,17
upinie,1
czakiem,1
wyszorowane,1
pieca,9
temperaturze,4
sich,1
indyczych,1
àdków,1
curry,3
sparzyç,5
kilkakrotnie,1
sitku,1
sitko,3
przep,2
rondlu,2
wycisnàç,2
zamieszaç,5
eczk,3
kontrolujàc,1
kkoêç,2
brakuje,1
kkoêci,5
kontrolowaç,2
odkrywamy,1
dusimy,19
zbràzowiejà,1
podawaç,25
surówkà,1
tartej,10
rzepy,1
paczka,1
macy,1
goràca,2
amaç,2
dolaç,9
roztrzepaç,2
rozmi,1
kczonà,1
jajkami,3
talerz,17
konfitury,1
startego,4
sera,11
pszenne,1
grzanki,11
szczypta,15
owej,5
rozpuêciç,18
nale,35
bardziej,1
nieco,15
poddusiç,6
poddu,1
szonej,1
soli,16
zawartoêç,4
powinna,18
pieczywo,10
podajemy,3
talerzu,10
grzankà,1
posypanà,1
zapiec,3
owiny,11
sporych,1
posiekanych,3
jasnego,7
lekkiego,2
piwa,17
oleju,27
oliwy,36
gruboziarnistej,1
francuska,2
kromek,1
owin,1
rozbijaç,3
rozklepaç,1
olej,21
pozosta,6
szklimy,3
wolnym,4
szklona,1
ponownie,9
dajemy,1
prowadziç,1
zdejmujemy,3
chwil,15
zimne,5
zrobi,5
wstawiamy,2
zagotowa,2
wlewamy,14
garnkaz,1
cebulà,6
podpiec,2
konieczne,1
kromki,3
smarujemy,6
musztardà,4
polewamy,9
goêdziki,9
cynamonu,12
kory,3
cynamonowej,3
ustego,1
twarogu,1
korzenie,1
cynamon,6
powinno,10
zagotowaç,18
dzyczasie,5
trzemy,1
powstaç,2
bierzemy,2
chochl,1
wrzàtku,9
czekamy,2
dobrze,11
roztarte,2
przelaç,4
dopuâ,1
przelaniem,1
àczyç,5
przelewamy,3
stnieç,1
êciàç,3
twaróg,2
usty,2
kwaêny,1
talerze,1
zupà,1
gotowe,12
odka,15
powiedzieç,1
swoisty,1
staropolskiego,1
zabajone,3
niegdyê,1
jada,1
êniadania,1
alew,1
dzisiejszych,1
czasach,1
danie,5
przyrzàdziç,1
deser,2
mielonego,4
wieprzowego,2
przyprawa,1
moje,1
notatki,1
przypadku,1
zbyt,1
mizerne,1
napiaç,1
robi,3
wynika,1
nich,5
palcka,1
piecze,3
zasam,1
wymyêli,1
produkty,1
innych,3
potraw,3
stopni,4
mieso,3
boczek,24
gotuje,1
tarkuje,1
miesza,2
smaczna,1
usta,1
kostrawna,1
podana,1
mieszkank,1
potrzeç,1
litra,3
kubek,2
twardo,7
cebule,1
potarte,1
wrzàcym,1
kasz,5
roztopiony,1
majeranku,2
ozyç,2
brytfanny,1
posmarowanej,1
naczynie,6
szklane,1
aroodporne,1
dzone,2
eberek,3
dzonki,2
najmniej,3
gdyby,1
suche,1
górze,1
zatrzeç,1
tarce,6
przesianà,1
zeszklonà,1
informacji,1
kiedyê,1
przygotowywano,1
ównie,1
wieku,1
najwa,2
niejszym,1
adnikiem,1
guminowe,1
zwane,2
niemieckimi,1
wyrabiane,1
oczonych,1
gotowanych,3
zmieszanych,1
màkàziemniaczanà,1
przygotowuje,1
polskie,2
utarte,1
gotowanymi,1
dodaje,3
cieszyƒskiem,1
popularne,2
sporzàdzane,1
tartych,1
tych,1
mikolaja,2
mies,2
laska,2
chrzanu,6
masla,4
szkl,25
rozpuêcic,1
doprawiç,11
êmietankà,3
podgrzewaç,5
wolno,5
sosu,24
surowego,5
caly,2
mieszaç,9
zahartowane,1
sprawi,1
ostudzeniu,1
stnieje,11
jeêli,9
chcemy,1
mieç,2
stszy,1
upieczonych,1
upinach,1
czerwonych,1
soku,9
octu,18
kminku,6
zakwasu,1
buraczanego,1
czerwonego,8
skórce,1
zetrzeç,2
mizerii,1
mizerià,1
buraczanà,1
kminek,8
kszy,1
zjadliwy,1
caloêç,11
buraczanym,1
oików,1
odne,2
dojrza,1
pudrem,2
winnego,15
estragonowego,2
wbiç,5
octem,6
dokladnie,8
adkà,5
emulsj,2
troszeczku,2
dolewaç,4
ucieraç,5
czasem,3
zwiekszaç,2
iloêç,5
dodawanego,2
szybko,14
jednolita,3
osobnej,2
misce,5
rozetrzeç,7
stopniowo,4
ciàgle,5
dodawaç,4
maklowicza,1
posiekanego,2
naci,3
estragonu,4
ocet,12
winny,7
wbic,3
skropic,1
szpinak,3
zielenin,2
majonezu,2
cytryn,1
czki,2
szczypiorku,2
utartej,1
tartego,2
siekany,7
szczypiorek,3
siekanà,3
szczyptà,1
samym,6
koƒcu,9
posiekane,11
które,4
zageszczà,1
smaki,1
przesz,2
nawzajem,1
porcje,2
prosiaka,2
angielskie,14
mocny,1
warzywny,1
êciemnieje,1
gotujacego,1
wlozyc,4
oczyszczone,1
szynki,6
bedzie,3
calkowicie,2
miekkie,2
chochelki,1
patelnie,20
troche,7
osobnym,2
kubeczku,1
zahartowaç,10
goràcego,2
rozprowadzamy,1
zetna,2
goràcy,7
teraz,17
dopiero,2
przekladamy,2
energicznie,2
podgrzewamy,3
ukrainski,2
salatka,5
cieplo,1
kostke,14
okolo,15
gotowane,2
burak,3
gotowana,1
marchew,13
êmietana,20
pomidorowa,6
zielona,5
wrzacej,1
nalezy,8
wrzucic,12
kapuste,6
cebulke,3
pólplasterki,1
ziemniaczki,1
paste,1
razu,6
towszystko,1
fasolke,1
pietruche,1
siekana,7
gara,3
konsumowaç,1
wedle,1
uznania,1
kaczki,1
ostatecznoêci,2
kurze,1
gesi,2
moczone,2
wodzie,12
sluszna,3
migdaly,2
platkach,1
caloêci,3
cebulami,1
siekanymi,1
soliç,2
stwardnieja,1
duzo,3
dwie,3
stracà,1
swój,2
kolor,5
czyli,2
dziki,1
zwany,2
niedzwiedzim,1
rosnacy,1
lasach,1
pokazny,1
ceniony,1
równiez,4
austrii,1
znany,1
jako,5
barlau,1
kwaêna,2
ogórek,3
pomidory,43
czeremsze,2
posiekac,1
sprzedawany,1
polsce,3
rozrywany,1
granatem,1
bronowany,1
znajduja,1
eczkach,2
starty,4
smacznego,8
taka,5
salatke,1
zrobic,4
miesem,1
kielbasa,1
fantastyczna,1
znika,1
blyskawicznie,1
rozgrzewamy,3
maslo,3
siekamy,8
sola,4
galka,1
muszkatolowa,1
swiezo,1
naturalny,1
jogurt,1
dopelniacz,1
kefir,1
bryndza,7
starta,4
pokrojona,11
namoczona,5
prawdziwki,3
bulke,1
wyrobieniu,1
zrobienie,1
farszu,6
formujemy,3
miesa,2
rozklepujemy,1
nakladamy,2
zawijamy,2
obtaczamy,1
bulce,1
duze,1
pólplastry,1
olejem,1
ruskie,1
wykrawamy,2
rozwalkowanego,1
nadziewamy,2
wyciagnieciu,1
ukladamy,1
wierzch,12
êmietanà,4
buraki,2
wedzonki,1
warzywa,13
ukrainskim,1
wedzonke,2
tarte,1
dalej,6
zmiekna,2
kukurydzianej,1
êmietane,1
spaliç,2
wsypujemy,6
kaszke,1
kukurydziana,2
powoli,4
garêcia,1
stnia,3
moze,2
zelazo,1
beton,1
posiadac,1
konsystencje,4
wykonana,1
mamalyge,1
mielonej,4
gryczanej,1
koncentrat,3
raczej,4
spora,2
gryczanà,1
kapust,11
liêci,3
najwi,2
ksze,2
sprytnie,3
zawinàç,6
spodzie,1
pouk,2
pomidorami,2
liêçmi,3
sparzonych,1
orzechów,2
oskich,2
zaparzamy,1
krótko,3
przepuszczamy,1
drobne,2
zarobiç,1
wyrobiç,5
elastyczne,1
kowujemy,1
cienko,1
farszem,1
lepimy,1
miodem,3
100g,8
surowej,3
ementalera,1
ewentualnie,2
szpinakiem,1
uformowaniu,1
drobnych,1
kluseczek,1
osolonej,4
roztopionego,3
pokrojonà,14
szynk,6
krótkim,2
podgrzaniu,2
przygotowanym,4
slaskie,2
zabków,2
wrzatkiem,3
przesma,5
drobna,6
wykonane,1
gotowa,4
wedzonka,1
êliwki,7
powidla,1
drozdzowe,2
pampuchy,1
polowa,1
êliwek,5
wyciagamy,4
parze,4
powidel,1
którym,4
gotowalo,1
szczypte,4
zaklepke,1
maczna,1
kroimy,18
kladziemy,1
kluskami,2
ozdabiamy,1
szynka,2
surowy,3
ogórki,5
koniecznie,2
konserwowe,2
musztarda,6
najlepsza,2
maszynki,1
szynke,2
rozbijamy,3
tluczkiem,2
solimy,12
pieprzymy,9
wiazemy,1
nicia,1
spinamy,1
szpilka,1
kuchenna,1
faszerowana,1
niewielkiego,1
naczynia,6
hartujemy,1
plynem,1
roladki,1
slaskimi,1
gnieciony,3
chwilke,1
zloty,1
zasma,22
papryke,4
mieszam,1
kilkanaêcie,4
wiecej,2
dania,1
polecany,2
klasyczny,2
rochlik,1
rumienimy,1
tymczasem,1
drozdzami,1
jajem,1
ugniatamy,1
odklejac,1
swobodnie,1
dloni,1
zagniatamy,1
êcierka,1
cieple,1
wyroslo,1
deske,5
walek,1
mniejszy,1
bedziemy,1
gdyz,1
urosnie,2
jakis,2
obracajac,1
wylowic,1
pokroic,6
godzine,1
odczekac,1
gulasz,1
miesny,1
wazne,1
grilowe,1
przyprawy,8
natrzeç,5
golonk,1
ziolami,1
podlewajac,1
piwem,4
goloneczke,1
kiszona,4
szklaneczka,1
ziemniaczana,4
twarozki,2
omunskie,2
piwnym,2
wedzonej,1
kielbasy,1
morawska,1
kielbase,1
wedzona,1
gniecionego,1
mozemy,1
ostroznie,3
powstaly,2
natke,1
twarozków,1
olomunskich,1
morawskie,2
wianeczki,1
szklana,1
rozrobic,1
adkie,1
konsystencja,3
odstawic,1
slonecznikowym,1
wczesniej,2
wytrawne,4
êmietanka,2
brzoskwinie,3
êliwowica,1
grubsze,1
nozem,2
prawde,1
zabkach,1
najlepsze,1
cale,1
zniknie,2
stworzy,1
drugiej,4
powstalo,1
rodzaju,2
karmelu,1
owoców,1
szklanke,1
podpalamy,2
talerzyk,2
salata,3
wloska,1
mediolanska,1
wedzony,1
wierzchnie,1
wyrzucamy,1
wycinamy,2
glab,1
tniemy,2
çwiartki,4
plasterkach,3
doprawiamy,1
goêdzikami,1
goêdzików,3
których,1
wyjda,1
zupki,1
endywia,1
kedzierzawa,1
postrzepiona,1
bagietka,1
salate,1
rwiemy,1
jedenj,1
bagietke,1
przygotowujemy,1
niewielka,1
iloêcia,1
prodsma,1
êciagamy,1
oliwe,2
powstal,1
jednorod,1
salaty,1
zamiast,3
grzanek,1
uzyc,1
onych,2
koniak,3
zabek,1
szampan,1
mujemy,1
czarna,1
zylke,1
niejadalna,1
dodatkiem,8
zczerwienieja,1
momencie,1
wypali,1
szampanem,1
rozpuêci,1
cedzakowa,1
truszki,1
kiszonej,7
grochu,2
groch,3
namoczony,1
moczenia,3
drugiego,2
wrzàcej,4
listkiem,1
marchewkà,1
pietruszkà,1
zagotowaniu,5
przecedzamy,1
kwaênic,1
wodàna,1
jasiek,1
êredniej,1
fasolk,5
moczy,2
pestek,1
gotujàcej,1
àczymy,5
ziaren,2
gotujàcà,2
ziarenka,1
kiszonà,1
odsàczamy,1
obrane,5
same,1
bezpoêrednio,2
kwaênicà,1
rondelku,1
podtapiamy,1
rozmieszamy,1
którà,3
najpierw,5
êcià,3
wymieszaniu,1
dozupy,1
wrzenia,4
osolone,1
zmielone,3
maszynce,2
pszennà,2
zmielony,4
spadziowy,1
musi,8
wystygnàç,1
rozpoczynamy,1
formowanie,1
knedli,1
eczce,1
zawijajàc,2
ciastem,1
dooko,1
formujemykulki,1
posolonej,2
póki,1
kaszà,2
krakowskà,2
wytopiç,2
zlaç,2
oika,1
antrykot,3
ziarna,5
zimnà,2
doprowadziç,1
odszumiç,1
opalona,1
nawet,4
czerni,1
ogniem,2
nada,3
roso,5
ugnieêç,1
przesypujàc,1
zwijaç,1
kroiç,2
êrodka,5
cienkie,6
rozsypaç,1
wyschni,1
wprost,1
zàbkach,1
krakowskiej,1
nici,1
wypatroszyç,1
wyfiletowaç,1
szkielet,3
korpusu,1
nacina,1
skór,1
ostro,2
wyjmuje,1
samo,2
nogami,1
filet,1
zostawiç,7
nasmarowaç,2
zewnàtrz,2
majerankiem,1
odrobi,1
przyda,1
pieczenia,7
roztworem,1
oblepione,1
grzaç,2
kiem,2
sucha,2
owiç,2
posolonym,1
goràcym,2
wywarem,3
palec,1
rozgrzanego,2
ostudziç,3
sypkie,1
wypchaç,1
oporu,1
kasza,2
cznieje,1
knàç,1
zaszyç,2
brytfance,1
penette,1
parmezan,13
trufle,1
truflowa,1
ratowaç,1
oliw,21
czerwonà,4
past,6
oska,4
szko,3
parmeƒska,1
scamorza,1
krowi,1
mozarella,1
tartym,4
parmezanem,8
mozarellñ,1
fryburskiej,2
zdrowaêki,1
oryginalnym,1
przepisie,1
radicchio,1
czerwone,1
podobne,1
naszej,1
trudna,1
dostania,1
zastepuje,1
powodzeniem,1
cykoria,1
wieprzowej,2
ugie,1
palstry,1
posmarowaç,11
ogórka,2
spiàç,1
podlaç,9
zaprawiç,2
zrazów,1
podusiç,2
oliwek,17
oczywiêcie,2
extra,1
virgine,1
naciowy,7
boultti,1
szara,1
pomidorowy,2
powrzucaç,1
pogotowaç,7
rozgrzanà,6
kleiç,1
wsadzaç,1
komu,1
wpadnie,1
cukinie,1
ówka,6
pomidorów,11
cukini,1
odcinamy,1
ogonek,1
przecinamy,1
podobnie,1
lecz,2
gorzkie,2
puêci,1
ruszcie,3
zàbkami,1
najszybciej,1
êciàgamy,1
upka,1
najd,2
cukinia,3
obrany,2
pieczonà,1
feta,3
pstràgi,1
bekonu,3
plastrach,1
àzka,1
rozmarynu,2
cytryna,4
myjemy,1
suszymy,1
papierowym,2
cznikiem,1
faszerujemy,1
posolonà,3
popieprzonà,1
wewnàtrz,1
bekonem,1
gotowà,1
rozmarynem,1
cytrynà,1
specjalnych,1
drutach,1
